GCA_000826245.1_Acanthamoeba_astronyxis	A.astronyxis (2015)
GCF_000150975.2_MS_CBS118893	ascomycetes N.gypsea CBS 118893
GCA_052058435.1_ASM5205843v1	ascomycetes N.intermedia (NRRL 2884 2025)
GCF_000213175.1_v2.0	ascomycetes N.tetrasperma FGSC 2508
GCA_019925545.1_ASM1992554v1	ascomycetes O.angusticollis (VPRI43764 2021)
GCA_022392945.1_ASM2239294v1	ascomycetes O.australiae (DAR52683 2022)
GCA_022392935.1_ASM2239293v1	ascomycetes O.cf. undulatum (VPRI43877 2022)
GCA_019925495.1_ASM1992549v1	ascomycetes O.fasciatum (VPRI43845 2021)
GCA_002917055.1_OIPS	ascomycetes O.ips (CBS 138721 2018)
GCA_029299085.1_OphIps_1.0	ascomycetes O.ips (STUB-S1-T2-B1 3A 2023)
GCA_019925475.1_ASM1992547v1	ascomycetes O.ips (VPRI43529 2021)
GCA_029299015.1_OphMon_1.0	ascomycetes O.montium (DLS1121 2023)
GCA_019925425.1_ASM1992542v1	ascomycetes O.pallidulum (VPRI43846 2021)
GCA_029298845.1_OphPer_1.0	ascomycetes O.perfectum (703A 2023)
GCA_032248835.1_ASM3224883v1	ascomycetes O.piceae (CECT20416 2023)
GCA_000410735.1_Opiceae_UAMHv01	ascomycetes O.piceae (UAMH 11346 2013)
GCA_029298795.1_OphQueMZ2_1.0	ascomycetes O.quercus (MZ2-65 2023)
GCA_029298765.1_OphSp15807_1.0	ascomycetes O.sp. 15807 (SP_15807 2023)
GCA_029298735.1_OphSpCBS14051_1.0	ascomycetes O.sp. CBS 140.51 (SP_CBS140.51 2023)
GCA_022392925.1_ASM2239292v1	ascomycetes O.tasmaniense (DAR52684 2022)
GCA_001272575.2_ASM127257v2	ascomycetes O.unilateralis (SC16a 2017)
GCF_000226545.1_ASM22654v1	ascomycetes P.anserina S mat+
GCF_001299255.1_ASM129925v1	ascomycetes P.attinorum
GCA_000150475.2_Paracocci_br_Pb03_V2	ascomycetes P.brasiliensis (Pb03 2014)
GCF_000150735.1_Paracocci_br_Pb18_V2	ascomycetes P.brasiliensis Pb18
GCA_017788925.1_ASM1778892v1	ascomycetes P.canis (CanA 2021)
GCA_017311265.1_ASM1731126v1	ascomycetes P.canis (Ck1 2021)
GCA_017911135.1_ASM1791113v1	ascomycetes P.canis (Ck2 2021)
GCF_001477545.1_Pneu_cari_B80_V3	ascomycetes P.carinii B80
GCA_900290415.1_version1	ascomycetes P.comata (T 2018)
GCF_000184105.1_Geom_destructans_V1	ascomycetes P.destructans (20631-21 2010 refseq)
GCF_000315645.1_PdigPd1_v1	ascomycetes P.digitatum (Pd1 2012 refseq)
GCA_000769735.1_ASM76973v1	ascomycetes P.expansum (d1 2014)
GCF_000340215.1_Mycfi2	ascomycetes P.fijiensis CIRAD86
GCA_000333975.2_ASM33397v2	ascomycetes P.jirovecii (SE8 2012)
GCF_001477535.1_Pneu_jiro_RU7_V2	ascomycetes P.jirovecii RU7
GCA_019843505.1_ASCUSDY21	ascomycetes P.kudriavzevii (2021)
GCA_041903555.1_BM01SB	ascomycetes P.kudriavzevii (ATCC 6258 2024)
GCA_037040875.1_ASM3704087v1	ascomycetes P.kudriavzevii (B114-03 2024)
GCA_029290715.1_ASM2929071v1	ascomycetes P.kudriavzevii (CTeuk-1743 2023)
GCA_014873065.1_ASM1487306v1	ascomycetes P.kudriavzevii (CY902 2019)
GCA_023629315.1_ASM2362931v1	ascomycetes P.kudriavzevii (M1110A 2022)
GCA_023629375.1_ASM2362937v1	ascomycetes P.kudriavzevii (M7004B 2022)
GCA_002798095.1_ASM279809v1	ascomycetes P.kudriavzevii (NG7 2017)
GCA_003705515.2_ASM370551v2	ascomycetes P.kudriavzevii (NRRL Y-5396 2018)
GCA_030579455.1_ASM3057945v1	ascomycetes P.kudriavzevii (NRRL Y-5396 2023)
GCA_025503585.1_ASM2550358v1	ascomycetes P.kudriavzevii (PB2809B 2022)
GCA_000764455.1_ASM76445v1	ascomycetes P.kudriavzevii (SD108 2014)
GCA_003033855.1_ASM303385v1	ascomycetes P.kudriavzevii (SJP 2018)
GCA_037042275.1_ASM3704227v1	ascomycetes P.kudriavzevii (Y114-04A 2024)
GCA_025503635.1_ASM2550363v1	ascomycetes P.kudriavzevii (Y5A 2022)
GCF_000150705.2_Paracocci_br_Pb01_V2	ascomycetes P.lutzii Pb01
GCF_000349005.2_Pneumo_murina_B123_V4	ascomycetes P.murina B123
GCA_016801405.1_ASM1680140v1	ascomycetes P.nodorum (SN15 2021)
GCA_024516155.1_Pyrom1	ascomycetes P.omphalodes (CBS 144459 2022)
GCA_017311285.1_Pneumocystis_oryctolagi_MERGE_1.1	ascomycetes P.oryctolagi (RABM 2021)
GCF_004337985.1_PpBr36	ascomycetes P.pennisetigena (Br36 2019 refseq)
GCF_000226395.1_PenChr_Nov2007	ascomycetes P.rubens (Wisconsin 54-1255 2008 refseq)
GCA_018127085.1_P2C.v1.0	ascomycetes P.sp. 'macacae' (P2C 2021)
GCA_017301755.1_ASM1730175v1	ascomycetes P.wakefieldiae (2A 2021)
GCF_001890105.1_Aspzo1	ascomycetes P.zonata CBS 506.65
GCF_000835555.1_Rhin_mack_CBS_650_93_V1	ascomycetes R.mackenziei CBS 650.93
GCF_000732125.1_ScApio1.0	ascomycetes S.apiospermum
GCA_040285505.1_ASM4028550v1	ascomycetes S.apiospermum (2RF1-5 2024)
GCA_002158515.1_SaHDO1_v1	ascomycetes S.apiospermum (HDO1 2017)
GCA_000732125.1_ScApio1.0	ascomycetes S.apiospermum (IHEM 14462 2014)
GCA_034774685.1_ASM3477468v1	ascomycetes S.aurantiacum (MUT 6114 2023)
GCA_000812075.1_ASM81207v1	ascomycetes S.aurantiacum (WM 09.24 2014)
GCF_000820605.1_S_brasiliensis_5110_v1	ascomycetes S.brasiliensis 5110
GCA_000732565.1_S40293v1	ascomycetes S.chartarum (IBT 40293 2014)
GCF_000149845.2_SJ5	ascomycetes S.japonicus yFS275
GCF_000182805.3_ASM18280v2	ascomycetes S.macrospora (v3 k-hell 2012)
GCA_034774675.1_ASM3477467v1	ascomycetes S.minutisporum (MUT 6113 2023)
GCF_000150505.1_SO6	ascomycetes S.octosporus yFS286
GCF_000961545.1_S_schenckii_v1	ascomycetes S.schenckii (1099-18 2015 refseq)
GCA_001857865.1_ASM185786v1	ascomycetes S.sclerotiorum UF-70 (1980 2016)
GCA_001599035.1_JCM_9410_assembly_v001	ascomycetes T.atroviride (JCM 9410 2016)
GCA_050494205.1_ASM5049420v1	ascomycetes T.concentricum (aejqo 2025)
GCA_051943895.1_ASM5194389v1	ascomycetes T.concentricum (CBS 109405 2025)
GCA_051943875.1_ASM5194387v1	ascomycetes T.concentricum (CBS 19626 2025)
GCA_000151175.1_ASM15117v1	ascomycetes T.equinum (CBS 127.97 2008)
GCA_051170935.1_ASM5117093v1	ascomycetes T.indotineae (HKPA48 2025)
GCA_023065905.1_ASM2306590v1	ascomycetes T.indotineae (TIMM20114 2022)
GCA_023065815.1_ASM2306581v1	ascomycetes T.indotineae (TIMM20119 2022)
GCA_032157385.1_ASM3215738v1	ascomycetes T.indotineae (TIMM20121 2023)
GCA_900162065.1_M8436	ascomycetes T.interdigitale (2017)
GCA_000616785.1_Tric_rubr_H6_V2	ascomycetes T.interdigitale (H6 2014)
GCA_019359935.1_ASM1935993v1	ascomycetes T.interdigitale (UCMS-IGIB-CI11 2021)
GCA_012182645.1_ASM1218264v1	ascomycetes T.interdigitale (UCMS-IGIB-CI12 2020)
GCA_012182655.1_ASM1218265v1	ascomycetes T.interdigitale (UCMS-IGIB-CI14 2020)
GCA_012184535.1_ASM1218453v1	ascomycetes T.kuryangei (IHEM 26527 2020)
GCA_910591655.1_IHEM_13979	ascomycetes T.kuryangei (THEM_13968 2021)
GCA_910591595.1_IHEM_4712	ascomycetes T.kuryangei (THEM_4712 2021)
GCF_000001985.1_JCVI-PMFA1-2.0	ascomycetes T.marneffei (ATCC 18224 2008 refseq)
GCA_003971505.1_ASM397150v1	ascomycetes T.marneffei (TM4 2018)
GCA_046867275.1_ASM4686727v1	ascomycetes T.mentagrophytes (BE1 2025)
GCA_051944135.1_ASM5194413v1	ascomycetes T.mentagrophytes (CBS 124404 2025)
GCA_051944165.1_ASM5194416v1	ascomycetes T.mentagrophytes (CBS 435.73 2025)
GCA_047301425.1_ASM4730142v1	ascomycetes T.mentagrophytes (LL-2024a 2025)
GCA_003118255.1_ABySS_70bp_45k_152cov_v1	ascomycetes T.mentagrophytes (TIMM 2789 2018)
GCA_002006585.1_ASM200658v1	ascomycetes T.reesei (QM6a 2017)
GCF_000167675.1_v2.0	ascomycetes T.reesei QM6a
GCA_000616805.1_Tric_fish_CBS_100081_V1	ascomycetes T.rubrum (CBS 100081 2014)
GCA_051943855.1_ASM5194385v1	ascomycetes T.rubrum (CBS 117539 2025)
GCA_000151425.1_ASM15142v1	ascomycetes T.rubrum (CBS 118892 2009)
GCA_051943835.1_ASM5194383v1	ascomycetes T.rubrum (CBS 170.65 2025)
GCA_000616985.1_Tric_raub_CBS_202_88_V2	ascomycetes T.rubrum (CBS 202.88 2014)
GCA_000616825.1_Tric_fish_CBS_288_86_V1	ascomycetes T.rubrum (CBS 288.86 2014)
GCA_000616845.1_Tric_kane_CBS_289_86_V1	ascomycetes T.rubrum (CBS 289.86 2014)
GCA_051943815.1_ASM5194381v1	ascomycetes T.rubrum (CBS 289.86 2025)
GCA_000616965.1_Tric_megn_CBS_735_88_V1	ascomycetes T.rubrum (CBS 735.88 2014)
GCA_051943795.1_ASM5194379v1	ascomycetes T.rubrum (CBS 735.88 2025)
GCA_021853085.1_ASM2185308v1	ascomycetes T.rubrum (CDCF0616 2022)
GCA_021853505.1_ASM2185350v1	ascomycetes T.rubrum (CDCF1386 2022)
GCA_021853515.1_ASM2185351v1	ascomycetes T.rubrum (CDCF1414 2022)
GCA_021854105.1_ASM2185410v1	ascomycetes T.rubrum (CDCF1500 2022)
GCA_021853525.1_ASM2185352v1	ascomycetes T.rubrum (CDCF1506 2022)
GCA_021853495.1_ASM2185349v1	ascomycetes T.rubrum (CDCF1522 2022)
GCA_000616905.1_Tric_rubr_M1448_V1	ascomycetes T.rubrum (MR1448 2014)
GCA_000616945.1_Tric_rubr_MR1459_V1	ascomycetes T.rubrum (MR1459 2014)
GCA_000616765.1_Tric_rubr_MR-850_V1	ascomycetes T.rubrum (MR850 2014)
GCA_910591615.1_IHEM_13968	ascomycetes T.rubrum (THEM_13968 2021)
GCA_910591905.1_IHEM_13976	ascomycetes T.rubrum (THEM_13976 2021)
GCA_910591955.1_IHEM_25556	ascomycetes T.rubrum (THEM_25556 2021)
GCA_910592315.1_IHEM_26520	ascomycetes T.rubrum (THEM_26520 2021)
GCA_910592265.1_IHEM_26523	ascomycetes T.rubrum (THEM_26523 2021)
GCA_910592115.1_IHEM_26721	ascomycetes T.rubrum (THEM_26721 2021)
GCA_910591845.1_IHEM_4915	ascomycetes T.rubrum (THEM_4915 2021)
GCF_000151425.1_ASM15142v1	ascomycetes T.rubrum CBS 118892
GCA_051943775.1_ASM5194377v1	ascomycetes T.schoenleinii (CBS 458.59 2025)
GCA_051943755.1_ASM5194375v1	ascomycetes T.schoenleinii (CBS 855.71 2025)
GCA_014839955.1_ASM1483995v1	ascomycetes T.simii (IHEM 4420 2020)
GCA_000616865.1_Tric_soud_CBS_452_61_V1	ascomycetes T.soudanense (CBS 452.61 2014)
GCA_910591815.1_IHEM_13459	ascomycetes T.soudanense (THEM_134592021)
GCA_910592065.1_IHEM_19743	ascomycetes T.soudanense (THEM_19743 2021)
GCA_910592025.1_IHEM_19744	ascomycetes T.soudanense (THEM_19744 2021)
GCA_910592235.1_IHEM_19751	ascomycetes T.soudanense (THEM_19751 2021)
GCF_000003125.1_JCVI-TSTA1-3.0	ascomycetes T.stipitatus ATCC 10500
GCF_000226095.1_ASM22609v1	ascomycetes T.thermophilus ATCC 42464
GCA_051943735.1_ASM5194373v1	ascomycetes T.tonsurans (CBS 112188 2025)
GCA_000151455.1_ASM15145v1	ascomycetes T.tonsurans (CBS 112818 2009)
GCA_051943715.1_ASM5194371v1	ascomycetes T.tonsurans (CBS 129.35 2025)
GCA_051943695.1_ASM5194369v1	ascomycetes T.tonsurans (CBS 729.88 2025)
GCA_047301375.1_ASM4730137v1	ascomycetes T.tonsurans (LL-2024b 2025)
GCA_000151505.1_ASM15150v1	ascomycetes T.verrucosum (HKI 0517 2010)
GCA_051943675.1_ASM5194367v1	ascomycetes T.violaceum (CBS 120316 2025)
GCA_051943655.1_ASM5194365v1	ascomycetes T.violaceum (CBS 517.63 2025)
GCA_051943635.1_ASM5194363v1	ascomycetes T.violaceum (CBS 730.88 2025)
GCA_910591785.1_IHEM_13775	ascomycetes T.violaceum (THEM_13775 2021)
GCA_910592165.1_IHEM_25578	ascomycetes T.violaceum (THEM_25578 2021)
GCA_910592145.1_IHEM_26519	ascomycetes T.violaceum (THEM_26519 2021)
GCF_000170995.1_TRIVI_v2.0	ascomycetes T.virens Gv29-8
GCA_012184575.1_ASM1218457v1	ascomycetes T.yaoundei (IHEM 4711 2020)
GCA_910592095.1_IHEM_13375	ascomycetes T.yaoundei (THEM_13375 2021)
GCA_910591995.1_IHEM_19041	ascomycetes T.yaoundei (THEM_19041 2021)
GCF_000003515.1_ASM351v2	ascomycetes U.reesii 1704
GCA_003689335.1_ASM368933v1	ascomycetes V.asperata (2349 2018)
GCA_003689065.1_ASM368906v1	ascomycetes V.asperata (asperata QWWM01 2018)
GCA_003690305.1_ASM369030v1	ascomycetes V.asperata (asperata QWXK01 2018)
GCA_003693225.1_ASM369322v1	ascomycetes V.aucupariae (2371 2018)
GCA_001990985.1_ASM199098v1	ascomycetes V.carpophila (JP3-5 2017)
GCA_000400815.2_VDAG_JR2v.4.0	ascomycetes V.dahliae (JR2 2014)
GCA_001901625.1_ASM190162v1	ascomycetes V.effusa (3Des10b 2016)
GCA_007735645.1_ASM773564v1	ascomycetes V.effusa (albino 2019)
GCF_000836295.1_O_gall_CBS43764	ascomycetes V.gallopava
GCA_009769425.1_ASM976942v1	ascomycetes V.inaequalis (120213 2019)
GCA_002148275.1_ViL.v1.0	ascomycetes V.inaequalis (1389 2017)
GCA_002148295.1_Vi1.2.8.9.v1.0	ascomycetes V.inaequalis (1639 2016)
GCA_003690295.1_ASM369029v1	ascomycetes V.inaequalis (2222 2018)
GCA_003690855.1_ASM369085v1	ascomycetes V.inaequalis (2472 2018)
GCA_003690845.1_ASM369084v1	ascomycetes V.inaequalis (2473 2018)
GCA_003690475.1_ASM369047v1	ascomycetes V.inaequalis (CAM 2018)
GCA_003690455.1_ASM369045v1	ascomycetes V.inaequalis (CAM 302b 2018)
GCA_003690275.1_ASM369027v1	ascomycetes V.inaequalis (CAM 303 2018)
GCA_003690195.1_ASM369019v1	ascomycetes V.inaequalis (CAM 304 2018)
GCA_003690435.1_ASM369043v1	ascomycetes V.inaequalis (CAM 308 2018)
GCA_003690235.1_ASM369023v1	ascomycetes V.inaequalis (CAM 309 2018)
GCA_003690415.1_ASM369041v1	ascomycetes V.inaequalis (CAM 312a 2018)
GCA_003690215.1_ASM369021v1	ascomycetes V.inaequalis (CAM 314 2018)
GCA_003690385.1_ASM369038v1	ascomycetes V.inaequalis (CAM 316 2018)
GCA_003690365.1_ASM369036v1	ascomycetes V.inaequalis (CAM 317 2018)
GCA_003690505.1_ASM369050v1	ascomycetes V.inaequalis (CAM 318a 2018)
GCA_003690405.1_ASM369040v1	ascomycetes V.inaequalis (CAM 320b 2018)
GCA_003691215.1_ASM369121v1	ascomycetes V.inaequalis (CAM 321 2018)
GCA_003693105.1_ASM369310v1	ascomycetes V.inaequalis (CAM 324 2018)
GCA_003690335.1_ASM369033v1	ascomycetes V.inaequalis (CAM 325a 2018)
GCA_003693125.1_ASM369312v1	ascomycetes V.inaequalis (CAM 328 2018)
GCA_003690255.1_ASM369025v1	ascomycetes V.inaequalis (CAM 329 2018)
GCA_003693165.1_ASM369316v1	ascomycetes V.inaequalis (CAM 330 2018)
GCA_003691305.1_ASM369130v1	ascomycetes V.inaequalis (CAM 332 2018)
GCA_003693185.1_ASM369318v1	ascomycetes V.inaequalis (CAP 400 2018)
GCA_003691195.1_ASM369119v1	ascomycetes V.inaequalis (CAP 401 2018)
GCA_003690315.1_ASM369031v1	ascomycetes V.inaequalis (CAP 402 2018)
GCA_003691295.1_ASM369129v1	ascomycetes V.inaequalis (CAP 405 2018)
GCA_003691185.1_ASM369118v1	ascomycetes V.inaequalis (CAP 406 2018)
GCA_003690925.1_ASM369092v1	ascomycetes V.inaequalis (CAP 409 2018)
GCA_003691165.1_ASM369116v1	ascomycetes V.inaequalis (CAP 500 2018)
GCA_003690905.1_ASM369090v1	ascomycetes V.inaequalis (CAP 503 2018)
GCA_003691135.1_ASM369113v1	ascomycetes V.inaequalis (CAP 504 2018)
GCA_003690885.1_ASM369088v1	ascomycetes V.inaequalis (CAP 603 2018)
GCA_003690865.1_ASM369086v1	ascomycetes V.inaequalis (CAP 607 2018)
GCA_003691115.1_ASM369111v1	ascomycetes V.inaequalis (CAP 608 2018)
GCA_003691275.1_ASM369127v1	ascomycetes V.inaequalis (CAP 611 2018)
GCA_003691095.1_ASM369109v1	ascomycetes V.inaequalis (CAP 613 2018)
GCA_003691075.1_ASM369107v1	ascomycetes V.inaequalis (CAP 616 2018)
GCA_003691055.1_ASM369105v1	ascomycetes V.inaequalis (CAP 617 2018)
GCA_003691255.1_ASM369125v1	ascomycetes V.inaequalis (CAP 704 2018)
GCA_003691235.1_ASM369123v1	ascomycetes V.inaequalis (CAP 709 2018)
GCA_009769405.1_ASM976940v1	ascomycetes V.inaequalis (DMI_063113 2019)
GCA_003689325.1_ASM368932v1	ascomycetes V.inaequalis (domASIA QWWN01 2018)
GCA_003689035.1_ASM368903v1	ascomycetes V.inaequalis (domASIA QWWO01 2018)
GCA_003689305.1_ASM368930v1	ascomycetes V.inaequalis (domEU QWWP01 2018)
GCA_003689285.1_ASM368928v1	ascomycetes V.inaequalis (domEU QWWQ01 2018)
GCA_003689265.1_ASM368926v1	ascomycetes V.inaequalis (domEU QWWR01 2018)
GCA_003689245.1_ASM368924v1	ascomycetes V.inaequalis (domEU QWWS01 2018)
GCA_003690645.1_ASM369064v1	ascomycetes V.inaequalis (domEU QWWZ01 2018)
GCA_003689205.1_ASM368920v1	ascomycetes V.inaequalis (domRvi6 QWWU01 2018)
GCA_003689185.1_ASM368918v1	ascomycetes V.inaequalis (domRvi6 QWWV01 2018)
GCA_003689165.1_ASM368916v1	ascomycetes V.inaequalis (domRvi6 QWWW01 2018)
GCA_003689135.1_ASM368913v1	ascomycetes V.inaequalis (domRvi6 QWWX01 2018)
GCA_003689115.1_ASM368911v1	ascomycetes V.inaequalis (domRvi6 QWWY01 2018)
GCA_002148305.1_Vi1.14.1.0	ascomycetes V.inaequalis (EU-B04 2016)
GCA_003689095.1_ASM368909v1	ascomycetes V.inaequalis (FLO QWXA01 2018)
GCA_003693075.1_ASM369307v1	ascomycetes V.inaequalis (FLO QWXB01 2018)
GCA_003690625.1_ASM369062v1	ascomycetes V.inaequalis (FLO QWXC01 2018)
GCA_003690605.1_ASM369060v1	ascomycetes V.inaequalis (FLO QWXD01 2018)
GCA_001857725.1_VenInaR1.1.0	ascomycetes V.inaequalis (ICMP 13258 2016)
GCA_003689055.1_ASM368905v1	ascomycetes V.inaequalis (LOQ QWWG01 2018)
GCA_003689435.1_ASM368943v1	ascomycetes V.inaequalis (LOQ QWWH01 2018)
GCA_003689415.1_ASM368941v1	ascomycetes V.inaequalis (LOQ QWWI01 2018)
GCA_003689395.1_ASM368939v1	ascomycetes V.inaequalis (LOQ QWWJ01 2018)
GCA_003689355.1_ASM368935v1	ascomycetes V.inaequalis (LOQ QWWK01 2018)
GCA_003693145.1_ASM369314v1	ascomycetes V.inaequalis (ORI QWXE01 2018)
GCA_003689075.1_ASM368907v1	ascomycetes V.inaequalis (ORI QWXF01 2018)
GCA_003690585.1_ASM369058v1	ascomycetes V.inaequalis (ORI QWXG01 2018)
GCA_003690565.1_ASM369056v1	ascomycetes V.inaequalis (ORI QWXH01 2018)
GCA_003690545.1_ASM369054v1	ascomycetes V.inaequalis (ORI QWXI01 2018)
GCA_003690525.1_ASM369052v1	ascomycetes V.inaequalis (ORI QWXJ01 2018)
GCA_003690705.1_ASM369070v1	ascomycetes V.inaequalis (PYR QWG01 2018)
GCA_003690725.1_ASM369072v1	ascomycetes V.inaequalis (PYR QWZF01 2018)
GCA_003690685.1_ASM369068v1	ascomycetes V.inaequalis (PYR QWZH01 2018)
GCA_003693205.1_ASM369320v1	ascomycetes V.inaequalis (PYR QWZI01 2018)
GCA_003691015.1_ASM369101v1	ascomycetes V.inaequalis (PYR QWZJ01 2018)
GCA_003693245.1_ASM369324v1	ascomycetes V.inaequalis (sorbus 2018)
GCA_003690815.1_ASM369081v1	ascomycetes V.inaequalis (SYL QWYZ01 2018)
GCA_003691035.1_ASM369103v1	ascomycetes V.inaequalis (SYL QWZA01 2018)
GCA_003690805.1_ASM369080v1	ascomycetes V.inaequalis (SYL QWZB01 2018)
GCA_003690785.1_ASM369078v1	ascomycetes V.inaequalis (SYL QWZC01 2018)
GCA_003690745.1_ASM369074v1	ascomycetes V.inaequalis (SYL QWZD01 2018)
GCA_003690765.1_ASM369076v1	ascomycetes V.inaequalis (SYL QWZE01 2018)
GCA_004522655.2_ASM452265v2	ascomycetes V.nashicola (PRI2 2019)
GCA_006232225.1_ASM623222v1	ascomycetes V.nashicola (Yasato 2-1-1 2019)
GCA_000738655.1_ASM73865v1	ascomycetes V.pyrina (ICMP 11032 2014)
GCA_003690985.1_ASM369098v1	ascomycetes V.pyrina (QWZK01 pirina 2018)
GCA_003690965.1_ASM369096v1	ascomycetes V.pyrina (QWZL01 pirina 2018)
GCA_003690945.1_ASM369094v1	ascomycetes V.pyrina (QWZM01 pirina 2018)
GCA_023079195.1_ASM2307919v1	ascomycetes V.pyrina (Venpi1 2022)
GCA_004125235.1_ASM412523v1	ascomycetes W.pararugosa (NRRL Y-17089 2019)
GCA_030574655.1_ASM3057465v1	ascomycetes W.pararugosa (NRRL Y-17089T 2023)
GCA_023628955.1_ASM2362895v1	ascomycetes W.pararugosa (PH2204 2022)
GCA_023629015.1_ASM2362901v1	ascomycetes W.pararugosa (PH4012 2022)
GCA_023628995.1_ASM2362899v1	ascomycetes W.pararugosa (PK2204 2022)
GCA_023628975.1_ASM2362897v1	ascomycetes W.pararugosa (PX1910 2022)
GCA_022385695.1_Xylarb124340_1	ascomycetes X.arbuscula (CBS 124340 2022)
GCF_001761485.1_ASM176148v1	ascomycetes Y.lipolytica (CLIB89W29 2016)
GCF_000219625.1_MYCGR_v2.0	ascomycetes Z.tritici (IPO323 2011 refseq)
GCA_900184105.1_ST99CH_3D1	ascomycetes Z.tritici ST99CH_3D1 (2017)
GCF_013141755.1_UCI_ANSTEP_V1.0	Asian malaria mosquito
GCA_000300775.2_ASM30077v2	Asian malaria mosquito (Indian Wild Type Walter Reed 2013)
GCA_000349045.1_Anop_step_SDA-500_V1	Asian malaria mosquito (SDA-500 2013)
GCA_900618005.1_T_asiatica_South_Korea_0011_upd	Asian tapeworm (2018)
GCA_001693035.2_Taenia_asiatica_TASYD01_v1	Asian tapeworm (TASYD01 2016)
GCF_001876365.2_canu_80X_arrow2.2	Asian tiger mosquito (C6/36 2017 refseq)
GCA_001444175.2_A.albopictus_v1.1	Asian tiger mosquito (Foshan BGI 2016)
GCF_006496715.2_Aalbo_primary.1	Asian tiger mosquito (v2 FPA 2019)
GCF_000880715.1_ViralProj32327	Astrovirus (MLB1 2008)
GCF_000885815.1_ViralProj39811	Astrovirus (VA1 2009)
GCF_000895575.1_ViralProj76723	Astrovirus MLB2 (MLB2/human/Stl/WD0559/2008 2012)
GCF_000899535.1_ViralProj178563	Astrovirus MLB3 (MLB3/human/Vellore/26564/2004 2012)
GCF_000901475.1_ViralProj178564	Astrovirus VA3 (VA3/human/Vellore/28054/2005 2012)
GCF_000897955.1_ViralProj178562	Astrovirus VA4 (VA4/human/Nepal/S5363/2008 2012)
GCF_000919195.1_ViralProj245453	Atlantic salmon calicivirus (Nordland/2011 2014)
GCF_000002995.4_B_malayi-4.0	B.malayi (v4 2019 agent of lymphatic filariasis)
GCA_001262475.1_ASM126247v1	B.mandrillaris (2046 2015)
GCA_001185145.1_ASM118514v1	B.mandrillaris (CDC-V039 2015)
GCF_000008445.1_ASM844v1	Bacillus anthracis str. 'Ames Ancestor' (Ames Ancestor; A2084 2004)
GCF_000369945.1_Bruc_abor_544_V1	Bacillus of abortion Bang 1897 (544 2013)
GCF_000025985.1_ASM2598v1	Bacteroides fragilis (NCTC 9343 2005)
GCF_000146045.2_R64	baker's yeast S288C (2014)
GCF_000858185.1_ViralMultiSegProj15178	Banna virus strain JKT-6423 (JKT-6423 JKT-6423 2000)
GCA_000469685.2_haemonchus_contortus_MHCO3ISE_4.0	barber pole worm (ISE/inbred ISE 2018)
GCA_000442195.1_Hco_v4_coding	barber pole worm (McMaster 2013)
GCF_000847585.1_ViralProj14679	Barmah Forest virus (BH2193 1997)
GCF_019930925.1_ASM1993092v1	Bartonella henselae (FDAARGOS_1462 2021)
GCA_022818075.1_ASM2281807v1	basidiomycetes A.altimontana (837-10 2022)
GCA_013427175.2_ASM1342717v2	basidiomycetes A.borealis (AB13-TR4-IP16 2020)
GCA_004802725.1_ASM480272v1	basidiomycetes A.citrinella (DSM 108506 2019)
GCA_001679825.1_ASM167982v1	basidiomycetes A.fuscipes (CMW2740 2016)
GCA_002307695.1_Armga1	basidiomycetes A.gallica (Ar21-2 2017)
GCA_026212265.1_ASM2621226v1	basidiomycetes A.gallica (Jzi34 2022)
GCA_001598995.1_JCM_9937_assembly_v001	basidiomycetes A.montevideense (JCM 9937 2016)
GCA_964034935.1_gfArmOsto1.1_alternate_haplotype	basidiomycetes A.ostoyae (alternate hap 2024)
GCA_902506015.1_ARMOSTPCHR	basidiomycetes A.ostoyae (C18/9 2019)
GCA_964034915.1_gfArmOsto1.1	basidiomycetes A.ostoyae (primary hap 2024)
GCA_040085025.1_ASM4008502v1	basidiomycetes A.sinapina (YAFMHJ89 2024)
GCA_002307675.1_Armost1	basidiomycetes A.solidipes (28-4 2017)
GCA_022818035.1_ASM2281803v1	basidiomycetes A.solidipes (ID001 2022)
GCA_027924225.1_adusta_1.0	basidiomycetes B.adusta (Dec 1 2022)
GCA_000836335.2_ASM83633v2	basidiomycetes C.bacillisporus (CA1280 2024 genbank)
GCA_000855695.1_Cryp_gatt_CA1873_V1	basidiomycetes C.bacillisporus (CA1873 2015)
GCA_016772295.1_ASM1677229v1	basidiomycetes C.cinerea (A43mut B43mut pab1-1 #326 2021)
GCF_000182895.1_CC3	basidiomycetes C.cinerea (okayama7#130 2010 refseq)
GCA_001600275.1_JCM_1532_assembly_v001	basidiomycetes C.curvatum (JCM 1532 2016)
GCA_036417295.1_ASM3641729v1	basidiomycetes C.decagattii (7685027 2024 genbank)
GCF_001720195.1_ASM172019v2	basidiomycetes C.depauperatus (CBS 7841 2024 refseq)
GCA_001720245.2_ASM172024v2	basidiomycetes C.depauperatus (CBS 7855 2024 gebnak)
GCA_000835815.1_Cryp_gatt_2001_935-1_V1	basidiomycetes C.deuterogattii (2001/935-1 2015)
GCA_000836455.1_Cryp_gatt_99_473_V1	basidiomycetes C.deuterogattii (99/473 2015)
GCA_000875795.1_Cryp_gatt_CA1014_V1	basidiomycetes C.deuterogattii (CA1014 2015)
GCA_000835765.1_Cryp_gatt_CBS10090_V1	basidiomycetes C.deuterogattii (CBS 10090 2015)
